Valve0_duration,Valve1_duration,Valve2_duration,X,Y,Z
334,1816,974,9.44,0.75,15.870000000000005
1788,295,1391,-7.4399999999999995,2.81,15.370000000000005
578,1362,1117,4.8100000000000005,1.31,16.25
1804,827,1741,-3.81,1.56,16.560000000000002
1398,1074,430,-1.94,-7.19,17.060000000000002
657,146,56,-4.13,-4.5,17.120000000000005
1946,732,1152,-5.5600000000000005,-0.94,17.310000000000002
868,1239,764,1.0,-3.25,17.689999999999998
1392,1133,1445,-1.31,0.13,18.060000000000002
857,738,1361,-0.75,3.06,18.25
241,1334,317,5.6899999999999995,-3.75,18.370000000000005
676,593,1183,0.1299999999999999,3.25,19.120000000000005
1220,1768,96,2.38,-11.06,19.620000000000005
364,481,1500,1.8099999999999996,6.56,19.939999999999998
1444,1377,794,-0.43999999999999995,-3.5599999999999996,20.189999999999998
1134,1089,365,-0.43999999999999995,-7.31,20.689999999999998
1787,324,142,-7.8100000000000005,-7.75,20.75
484,363,1166,-1.19,5.25,20.810000000000002
304,1742,160,7.8100000000000005,-6.88,20.75
1657,210,860,-7.9399999999999995,0.25,20.370000000000005
413,899,1635,3.9399999999999995,5.81,21.120000000000005
74,1032,683,6.3100000000000005,0.62,21.060000000000002
1860,1022,1535,-2.94,0.31,21.310000000000002
1607,237,1826,-8.19,4.88,20.810000000000002
1872,1475,8,-2.37,-11.44,21.25
1260,425,1405,-5.5600000000000005,2.75,21.25
374,314,774,-0.75,3.63,21.25
100,877,1533,5.630000000000001,6.88,21.0
466,995,1562,4.0600000000000005,5.38,20.870000000000005
1877,117,1018,-9.0,1.56,20.939999999999998
1088,1446,409,0.4400000000000004,-7.31,21.439999999999998
1311,1308,1201,-0.56,-1.25,21.939999999999998
952,890,670,-0.1900000000000004,-2.69,22.25
569,868,536,2.5599999999999996,-2.81,22.5
1190,166,604,-6.9399999999999995,-1.13,22.25
733,1604,1737,4.130000000000001,1.38,22.620000000000005
1015,1464,1271,2.0,0.0,22.810000000000002
765,1541,202,3.8100000000000005,-7.9399999999999995,23.25
1633,1521,194,-0.69,-10.38,24.620000000000005
869,482,943,-2.62,0.94,24.870000000000005
1629,1689,1954,0.25,0.06,25.5
1408,1999,1096,2.0599999999999996,-3.44,26.120000000000005
1382,795,174,-2.44,-9.06,26.370000000000005
552,843,110,1.9400000000000004,-6.94,26.5
1604,395,949,-6.6899999999999995,-0.25,26.370000000000005
405,999,1871,3.63,5.69,26.439999999999998
519,1049,228,3.63,-5.44,26.560000000000002
1134,536,1068,-3.37,1.06,27.25
1318,522,1082,-5.37,1.31,27.25
